name,open_now,type,address,rating,price_level
Palau Güell,false,museum,Carrer Nou de la Rambla 3-5 Barcelona,4.5
El Club de la Hamburguesa,true,restaurant,Carrer de Valldonzella 3 Barcelona,4.1,1
Costa Breve,true,night_club,Carrer d'Aribau 230 Barcelona,3.1
G-Star,false,store,Rambla de Catalunya 78 Barcelona,4.0
Sutton Barcelona,true,night_club,Carrer de Tuset 13 Barcelona,3.4
Razzmatazz,true,night_club,Carrer dels Almogàvers 122 Barcelona,4.2
La Tagliatella,false,restaurant,Carrer de Mallorca 266 Barcelona,3.8,2
Sala Apolo,true,night_club,Carrer Nou de la Rambla 113 Barcelona,4.2
Koy Shunka,true,restaurant,Carrer d'en Copons 7 Barcelona,4.7,4
Santa Eulalia,false,store,Passeig de Gràcia 93 Barcelona,4.3
ABaC Restaurant,true,restaurant,Av. del Tibidabo 1 Barcelona,4.4,4
Restaurante Lasarte,false,restaurant,Carrer de Mallorca 259 08008 Barcelona,4.7,4
Restaurante Shunka,true,restaurant,Calle Sagristans 5 Barcelona,4.6,3
Paco Meralgo,true,restaurant,Carrer de Muntaner 171 Barcelona,4.6,2
Restaurante O'Retorno,false,restaurant,Carrer Comte d'Urgell 168 Barcelona,4.4,2
Emporio Armani,false,store,Passeig de Gràcia 6 Barcelona,4.0
BOTAFUMEIRO,true,restaurant,Carrer Gran de Gràcia 81 Barcelona,4.3,4
Museu d'Història de Catalunya,true,museum,Palau de Mar Plaça de Pau Vila 3 Barcelona,4.4
Massimo Dutti,true,store,Carrer de Pelai 1-4 Barcelona,4.0
